INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID00100074	DSSTox_Substance_Id	DTXSID00100074	Fatty acids, C16-18 and C18-unsatd., Me esters, distn. residues	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100079	DSSTox_Substance_Id	DTXSID00100079	Fatty acids, castor-oil, hydrogenated, lithium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100094	DSSTox_Substance_Id	DTXSID00100094	Fatty acids, coco, polymers with benzoic acid, pentaerythritol and phthalic anhydride	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100110	DSSTox_Substance_Id	DTXSID00100110	Fatty acids, C18-unsatd., dimers, polymers with azelaic acid, ethylenediamine, isostearic acid and piperazine	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100115	DSSTox_Substance_Id	DTXSID00100115	Fatty acids, C18-unsatd., dimers, polymers with ethylenediamine, isostearic acid, piperazine and sebacic acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100190	DSSTox_Substance_Id	DTXSID00100190	Fatty acids, tall-oil, polymers with glycerol, maleic anhydride and rosin	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100195	DSSTox_Substance_Id	DTXSID00100195	Fatty acids, tall-oil, polymers with glycerol, phthalic anhydride and tall oil	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100256	DSSTox_Substance_Id	DTXSID00100256	Linseed oil, polymer with maleic anhydride, pentaerythritol, rosin, soybean oil and tung oil	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100276	DSSTox_Substance_Id	DTXSID00100276	Oils, peppermint, reaction products with hydrogen sulfide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100291	DSSTox_Substance_Id	DTXSID00100291	Polyphosphoric acids, zinc salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100296	DSSTox_Substance_Id	DTXSID00100296	Quaternary ammonium compounds, C18-22-alkylbis(hydroxyethyl)methyl, ethoxylated, Me sulfates (salts)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100337	DSSTox_Substance_Id	DTXSID00100337	Siloxanes and Silicones, 3-(acetyloxy)propyl Me, di-Me	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID001003732	DSSTox_Substance_Id	DTXSID001003732	N-Chloro-N-[2,3,4,5-tetrachloro-6-(2,4-dichlorophenoxy)phenyl]methanesulfonamide--sodium (1/1)	C13H7Cl7NNaO3S	528.4	1.59728e-11	997.689	8.36096	430.277	0.000151854	16.946	11.7161	40689.3	7.8771	69.5102	8.87428e-09	1.32387e-07
DTXSID00100377	DSSTox_Substance_Id	DTXSID00100377	Tallow, mixed with tristearin, calcium sodium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID001003875	DSSTox_Substance_Id	DTXSID001003875	Chromium(3+) sodium 2-{2-[1-hydroxy-3-oxo-1-(phenylimino)butan-2-ylidene]hydrazinyl}-4-sulfamoylphenolate 2-{2-[2-oxido-5-(S-oxidosulfonimidoyl)phenyl]hydrazinylidene}-3-oxo-N-phenylbutanimidate (1/1/
1/1)	C32H28CrN8NaO10S2	823.73	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100392	DSSTox_Substance_Id	DTXSID00100392	Tallow, hydrogenated, ester with glycerol, ethoxylated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID001004223	DSSTox_Substance_Id	DTXSID001004223	Acetic acid--1-amino-4-{3-[(dimethylamino)methyl]anilino}anthracene-9,10-dione (1/1)	C25H25N3O4	431.492	1.74644e-11	15.1556	71.0874	395.368	3.88023e-10	0.181851	9.64571	3488.16	1.09723	144.919	8.38074e-10	1.34634e-06
DTXSID00100478	DSSTox_Substance_Id	DTXSID00100478	1,3-Propanediamine, N1-octadecyl-, carboxymethyl derivs., ammonium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100498	DSSTox_Substance_Id	DTXSID00100498	Benzenesulfonic acid, propenated, calcium salt, overbased	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID00100514	DSSTox_Substance_Id	DTXSID00100514	Lanthanum oxide sulfide (La2O2S), terbium-doped	-	-	-	-	-	-	-	-	-	-	-	-	-	-
