INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID20108754	DSSTox_Substance_Id	DTXSID20108754	D-Glucose, reaction products with nitric acid and sodium nitrite (1:1), potassium sodium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108759	DSSTox_Substance_Id	DTXSID20108759	Fatty acids, coco, reaction products with isomerized oleic acid homopolymer, hydrogenated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108810	DSSTox_Substance_Id	DTXSID20108810	Benzaldehyde, polymer with 1,4-bis(methoxymethyl)benzene and phenol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108815	DSSTox_Substance_Id	DTXSID20108815	Rosin, reaction products with formaldehyde	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108830	DSSTox_Substance_Id	DTXSID20108830	1H-Indene, 2,3-dihydro-1,1,3-trimethyl-3-phenyl-, octabromo deriv.	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108835	DSSTox_Substance_Id	DTXSID20108835	Sunflower oil, oleic acid-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108850	DSSTox_Substance_Id	DTXSID20108850	Formaldehyde, reaction products with N-butyl-1-butanamine	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108855	DSSTox_Substance_Id	DTXSID20108855	Carbonic acid, dimethyl ester, polymer with 1,4-cyclohexanedimethanol and 1,6-hexanediol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108875	DSSTox_Substance_Id	DTXSID20108875	Fatty acids, C>14	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108890	DSSTox_Substance_Id	DTXSID20108890	Hexanedioic acid, polymer with 1,4-butanediol, 1,6-diisocyanatohexane, 1,6-hexanediol, 2-methyloxirane and oxirane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108895	DSSTox_Substance_Id	DTXSID20108895	1,3-Benzenedicarboxylic acid, polymer with 2,2-dimethyl-1,3-propanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, 2,5-furandione and 1,2-propanediol, 2-ethylhexyl ester	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108956	DSSTox_Substance_Id	DTXSID20108956	Nitriles, rosin	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108971	DSSTox_Substance_Id	DTXSID20108971	Fatty acids, C16-18 and C18-unsatd., branched and linear, reaction products with piperazineethanol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20108976	DSSTox_Substance_Id	DTXSID20108976	Ethanol, 2,2',2''-nitrilotris-, polymer with 1,3-diisocyanatomethylbenzene, 2-methyloxirane and oxirane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109029	DSSTox_Substance_Id	DTXSID20109029	Fatty acids, C18-unsatd., trimers, tris(2-ethylhexyl) esters	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109044	DSSTox_Substance_Id	DTXSID20109044	10H-Phenothiazine, ar,ar'-(C9-rich C8-10-branched alkyl) derivs.	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109064	DSSTox_Substance_Id	DTXSID20109064	Amines, C36-alkylenedi-, polymers with ethylenediamine, 2-methyl-1,5-pentanediamine, piperazine, polypropylene glycol diamine and sebacic acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109069	DSSTox_Substance_Id	DTXSID20109069	Fatty acids, sunflower-oil, esters with propylene glycol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109185	DSSTox_Substance_Id	DTXSID20109185	Oat, flour	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109367	DSSTox_Substance_Id	DTXSID20109367	Tar, brown-coal	-	-	-	-	-	-	-	-	-	-	-	-	-	-
