INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID9029855	DSSTox_Substance_Id	DTXSID9029855	Phosphoric trichloride, polymer with 1,3-benzenediol, phenyl ester	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9031359	DSSTox_Substance_Id	DTXSID9031359	Gallium oxide	Ga2O3	187.443	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9031939	DSSTox_Substance_Id	DTXSID9031939	Potassium ferricyanide	C6FeK3N6	329.248	3.00402e-14	1.9792	8.20889	25.6428	0.000133572	0.171334	0.437106	2.76794	-1.72513	233.546	738.974	20.1894
DTXSID9032119	DSSTox_Substance_Id	DTXSID9032119	Tellurium	Te	127.6	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9033896	DSSTox_Substance_Id	DTXSID9033896	Phosphorus pentachloride	Cl5P	208.22	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9033971	DSSTox_Substance_Id	DTXSID9033971	Sesame oil	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9034781	DSSTox_Substance_Id	DTXSID9034781	Oil of eucalyptus	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9034783	DSSTox_Substance_Id	DTXSID9034783	Oil of lemongrass	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9034785	DSSTox_Substance_Id	DTXSID9034785	Oil of rosemary	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9034941	DSSTox_Substance_Id	DTXSID9034941	Sulfur	S	32.06	-	-	-	-	-	-	-	-	-	-	-	-
